tweet_text,cyberbullying_type
keep going bro,not_cyberbullying
nice post bro,not_cyberbullying
great job,not_cyberbullying
this is amazing,not_cyberbullying
well done,not_cyberbullying
love this content,not_cyberbullying
you are stupid,cyberbullying
you are useless,cyberbullying
i hate you,cyberbullying
go die,cyberbullying
nobody likes you,cyberbullying
worst post ever,cyberbullying
you are trash 💀,cyberbullying
so inspiring 😊,not_cyberbullying
nobody likes you,cyberbullying
respect bro,not_cyberbullying
nice post 🔥,not_cyberbullying
you are such an idiot 😂,cyberbullying
you are amazing ❤️,not_cyberbullying
love your content 😍,not_cyberbullying
nice post 🔥,not_cyberbullying
respect bro,not_cyberbullying
you are so dumb,cyberbullying
so inspiring 😊,not_cyberbullying
well done 🙌,not_cyberbullying
you are amazing ❤️,not_cyberbullying
i will kill you bro,cyberbullying
love your content 😍,not_cyberbullying
so inspiring 😊,not_cyberbullying
great job 👏,not_cyberbullying
nobody likes you,cyberbullying
you are such an idiot 😂,cyberbullying
well done 🙌,not_cyberbullying
you are such an idiot 😂,cyberbullying
i will kill you bro,cyberbullying
well done 🙌,not_cyberbullying
great job 👏,not_cyberbullying
you did great,not_cyberbullying
you are trash 💀,cyberbullying
this is awesome 💯,not_cyberbullying
keep going bro,not_cyberbullying
you are amazing ❤️,not_cyberbullying
great job 👏,not_cyberbullying
pathetic content 🤮,cyberbullying
well done 🙌,not_cyberbullying
you are so dumb,cyberbullying
well done 🙌,not_cyberbullying
you are so dumb,cyberbullying
great job 👏,not_cyberbullying
pathetic content 🤮,cyberbullying
you are amazing ❤️,not_cyberbullying
you look ugly af,cyberbullying
you did great,not_cyberbullying
so inspiring 😊,not_cyberbullying
you are such an idiot 😂,cyberbullying
worst post ever,cyberbullying
you are amazing ❤️,not_cyberbullying
you are trash 💀,cyberbullying
you are trash 💀,cyberbullying
pathetic content 🤮,cyberbullying
you are so dumb,cyberbullying
i will kill you bro,cyberbullying
well done 🙌,not_cyberbullying
great job 👏,not_cyberbullying
nice post 🔥,not_cyberbullying
love your content 😍,not_cyberbullying
nice post 🔥,not_cyberbullying
you look ugly af,cyberbullying
great job 👏,not_cyberbullying
great job 👏,not_cyberbullying
go die please,cyberbullying
you are so dumb,cyberbullying
pathetic content 🤮,cyberbullying
pathetic content 🤮,cyberbullying
well done 🙌,not_cyberbullying
you are such an idiot 😂,cyberbullying
this is awesome 💯,not_cyberbullying
go die please,cyberbullying
love your content 😍,not_cyberbullying
keep going bro,not_cyberbullying
keep going bro,not_cyberbullying
i will kill you bro,cyberbullying
respect bro,not_cyberbullying
you are so dumb,cyberbullying
great job 👏,not_cyberbullying
pathetic content 🤮,cyberbullying
pathetic content 🤮,cyberbullying
i will kill you bro,cyberbullying
go die please,cyberbullying
go die please,cyberbullying
this is awesome 💯,not_cyberbullying
so inspiring 😊,not_cyberbullying
worst post ever,cyberbullying
respect bro,not_cyberbullying
this is awesome 💯,not_cyberbullying
you are amazing ❤️,not_cyberbullying
you did great,not_cyberbullying
respect bro,not_cyberbullying
love your content 😍,not_cyberbullying
i will kill you bro,cyberbullying
go die please,cyberbullying
so inspiring 😊,not_cyberbullying
great job 👏,not_cyberbullying
i will kill you bro,cyberbullying
i will kill you bro,cyberbullying
respect bro,not_cyberbullying
you look ugly af,cyberbullying
you are amazing ❤️,not_cyberbullying
you look ugly af,cyberbullying
respect bro,not_cyberbullying
i will kill you bro,cyberbullying
you are trash 💀,cyberbullying
nice post 🔥,not_cyberbullying
love your content 😍,not_cyberbullying
i will kill you bro,cyberbullying
worst post ever,cyberbullying
stop posting nonsense,cyberbullying
worst post ever,cyberbullying
you are trash 💀,cyberbullying
so inspiring 😊,not_cyberbullying
stop posting nonsense,cyberbullying
go die please,cyberbullying
you are amazing ❤️,not_cyberbullying
well done 🙌,not_cyberbullying
nice post 🔥,not_cyberbullying
this is awesome 💯,not_cyberbullying
so inspiring 😊,not_cyberbullying
love your content 😍,not_cyberbullying
nobody likes you,cyberbullying
you are amazing ❤️,not_cyberbullying
great job 👏,not_cyberbullying
you look ugly af,cyberbullying
you look ugly af,cyberbullying
great job 👏,not_cyberbullying
so inspiring 😊,not_cyberbullying
keep going bro,not_cyberbullying
